oId;oLon;oLat;oX;oY;dId;dLon;dLat;dX;dY;Weight
11569;30.833038;-29.825985;657486;-3263457;8159;29.779507;-28.925308;560423;-3158563;19
15651;30.878885;-30.027022;660767;-3286023;15649;30.879468;-30.027397;660821;-3286067;7
7384;31.036791;-29.771793;677385;-3258429;10942;30.988674;-29.884977;672113;-3270772;12
10957;30.981185;-29.895331;671334;-3271886;11001;30.976254;-29.893403;670871;-3271647;5
11010;31.003409;-29.855893;673695;-3267612;11455;30.978583;-29.824897;671485;-3264044;2
11015;30.982894;-29.851574;671747;-3267031;11405;31.025811;-29.85699;675841;-3267844;14
11387;31.019807;-29.844436;675336;-3266419;11678;30.931452;-29.851773;666802;-3266801;3
5954;31.046164;-29.645828;679010;-3244472;10942;30.988674;-29.884977;672113;-3270772;2
7976;31.063193;-29.659185;680572;-3246041;5973;31.064119;-29.647006;680731;-3244692;2
10957;30.981185;-29.895331;671334;-3271886;11008;30.974876;-29.898174;670712;-3272171;3
7550;30.947133;-29.777887;668727;-3258664;7575;30.974647;-29.78563;671329;-3259660;2
11643;30.836537;-29.821084;657850;-3262929;6092;30.414359;-29.597145;618427;-3236057;6
12120;30.988319;-29.908842;671943;-3273423;11000;30.959245;-29.908878;669150;-3273284;2
7310;30.888673;-29.801481;662972;-3261002;7316;30.887169;-29.805194;662807;-3261408;8
11638;30.867793;-29.805446;660942;-3261342;7476;31.001945;-29.771245;674037;-3258195;3
11957;31.040631;-29.886691;677095;-3271219;14305;30.426805;-30.750592;613590;-3364287;2
7430;30.994822;-29.811615;673121;-3262648;7439;30.984711;-29.804257;672191;-3261780;4
7442;31.035153;-29.748614;677360;-3255844;7310;30.888673;-29.801481;662972;-3261002;2
5955;31.045469;-29.64404;678953;-3244269;10942;30.988674;-29.884977;672113;-3270772;2
7566;30.996772;-29.743258;673699;-3255059;7405;30.990325;-29.805165;672726;-3261909;5
7405;30.990325;-29.805165;672726;-3261909;7720;30.989263;-29.706621;673185;-3250949;5
7565;30.967654;-29.763594;670782;-3257176;11391;30.976188;-29.805254;671366;-3261849;2
7554;30.943255;-29.773635;668378;-3258173;7562;30.975086;-29.790115;671346;-3260161;2
11913;30.940458;-29.916133;667304;-3273998;12117;30.983746;-29.922464;671426;-3274914;2
10957;30.981185;-29.895331;671334;-3271886;11023;31.000876;-29.859969;673428;-3268052;2
7436;30.999499;-29.80678;673599;-3262133;7405;30.990325;-29.805165;672726;-3261909;2
7405;30.990325;-29.805165;672726;-3261909;7716;31.013461;-29.673326;675704;-3247367;3
7418;31.025636;-29.767092;676339;-3257851;11538;30.86692;-29.801886;660878;-3260942;3
7684;29.130738;-28.287809;500213;-3085048;7589;30.586766;-29.734451;634299;-3252116;2
11629;30.817013;-29.81871;655986;-3262571;7586;30.633074;-29.743079;638708;-3253291;12
11786;30.946553;-29.957333;667656;-3278607;16035;30.939659;-29.988899;666816;-3282082;11
10973;30.980496;-29.857562;671483;-3267685;12184;30.960107;-29.935549;669081;-3276252;4
10956;31.001252;-29.863863;673442;-3268487;11023;31.000876;-29.859969;673428;-3268052;2
7467;30.999029;-29.781241;673699;-3259292;11038;31.005147;-29.866164;673803;-3268762;2
7586;30.633074;-29.743079;638708;-3253291;8555;29.872165;-29.006197;569015;-3167951;2
7496;30.732607;-29.826494;647827;-3263034;12071;31.018388;-29.884257;674972;-3270838;2
7431;31.026769;-29.763041;676471;-3257406;7441;30.987139;-29.805756;672416;-3261959;3
7485;31.012052;-29.792095;674890;-3260563;12184;30.960107;-29.935549;669081;-3276252;4
7560;30.980174;-29.724616;672208;-3252904;7485;31.012052;-29.792095;674890;-3260563;8
7310;30.888673;-29.801481;662972;-3261002;7323;30.873325;-29.802351;661492;-3261024;2
7552;30.962541;-29.759489;670313;-3256695;7564;30.965637;-29.759049;670614;-3256661;19
7489;30.986515;-29.780736;672499;-3259174;12146;30.970541;-29.931433;670107;-3275846;3
7436;30.999499;-29.80678;673599;-3262133;11347;30.999073;-29.825097;673453;-3264167;3
15969;30.935633;-29.994501;666397;-3282684;16040;30.931479;-29.997694;665981;-3283019;2
12010;30.985459;-29.918084;671615;-3274436;12151;30.977775;-29.920243;670865;-3274638;3
11512;30.793733;-29.845387;653600;-3265425;7354;30.880966;-29.819086;662132;-3262922;4
11647;30.834363;-29.816874;657664;-3262451;7338;30.886375;-29.807101;662720;-3261616;3
15654;30.849984;-30.053045;657848;-3288775;15653;30.864399;-30.086996;659042;-3292617;3
15654;30.849984;-30.053045;657848;-3288775;15660;30.86969;-30.066376;659665;-3290352;3
15655;30.881367;-30.056443;660841;-3289304;15653;30.864399;-30.086996;659042;-3292617;8
15654;30.849984;-30.053045;657848;-3288775;15662;30.828992;-30.054746;655825;-3288863;2
7440;31.017034;-29.776195;675460;-3258820;7385;31.010393;-29.809033;674633;-3262438;2
7431;31.026769;-29.763041;676471;-3257406;7476;31.001945;-29.771245;674037;-3258195;2
14393;28.970773;-27.864489;486343;-3037301;7496;30.732607;-29.826494;647827;-3263034;2
12121;30.98325;-29.922724;671377;-3274941;11034;30.968529;-29.892677;670133;-3271529;3
7315;30.929465;-29.801341;666896;-3261185;7308;30.930727;-29.802159;667012;-3261282;23
10957;30.981185;-29.895331;671334;-3271886;11047;30.92065;-29.880574;665601;-3269949;4
10923;31.001865;-29.874962;673437;-3269724;11387;31.019807;-29.844436;675336;-3266419;5
10957;30.981185;-29.895331;671334;-3271886;11048;30.919498;-29.88072;665490;-3269960;3
12151;30.977775;-29.920243;670865;-3274638;12061;30.983837;-29.907186;671522;-3273217;4
