oId;oLon;oLat;oX;oY;dId;dLon;dLat;dX;dY;Weight
11569;30.833038;-29.825985;657486;-3263457;8159;29.779507;-28.925308;560423;-3158563;14
15651;30.878885;-30.027022;660767;-3286023;15649;30.879468;-30.027397;660821;-3286067;4
7384;31.036791;-29.771793;677385;-3258429;10942;30.988674;-29.884977;672113;-3270772;2
11387;31.019807;-29.844436;675336;-3266419;11678;30.931452;-29.851773;666802;-3266801;3
5954;31.046164;-29.645828;679010;-3244472;10942;30.988674;-29.884977;672113;-3270772;2
10957;30.981185;-29.895331;671334;-3271886;11008;30.974876;-29.898174;670712;-3272171;3
7310;30.888673;-29.801481;662972;-3261002;7316;30.887169;-29.805194;662807;-3261408;4
7442;31.035153;-29.748614;677360;-3255844;7310;30.888673;-29.801481;662972;-3261002;2
5955;31.045469;-29.64404;678953;-3244269;10942;30.988674;-29.884977;672113;-3270772;2
7566;30.996772;-29.743258;673699;-3255059;7405;30.990325;-29.805165;672726;-3261909;3
7405;30.990325;-29.805165;672726;-3261909;7720;30.989263;-29.706621;673185;-3250949;4
10957;30.981185;-29.895331;671334;-3271886;11023;31.000876;-29.859969;673428;-3268052;2
7405;30.990325;-29.805165;672726;-3261909;7716;31.013461;-29.673326;675704;-3247367;2
7418;31.025636;-29.767092;676339;-3257851;11538;30.86692;-29.801886;660878;-3260942;2
7684;29.130738;-28.287809;500213;-3085048;7589;30.586766;-29.734451;634299;-3252116;2
11629;30.817013;-29.81871;655986;-3262571;7586;30.633074;-29.743079;638708;-3253291;9
11786;30.946553;-29.957333;667656;-3278607;16035;30.939659;-29.988899;666816;-3282082;8
10956;31.001252;-29.863863;673442;-3268487;11023;31.000876;-29.859969;673428;-3268052;2
7586;30.633074;-29.743079;638708;-3253291;8555;29.872165;-29.006197;569015;-3167951;2
7496;30.732607;-29.826494;647827;-3263034;12071;31.018388;-29.884257;674972;-3270838;2
7431;31.026769;-29.763041;676471;-3257406;7441;30.987139;-29.805756;672416;-3261959;2
7485;31.012052;-29.792095;674890;-3260563;12184;30.960107;-29.935549;669081;-3276252;3
7310;30.888673;-29.801481;662972;-3261002;7323;30.873325;-29.802351;661492;-3261024;2
7436;30.999499;-29.80678;673599;-3262133;11347;30.999073;-29.825097;673453;-3264167;2
11512;30.793733;-29.845387;653600;-3265425;7354;30.880966;-29.819086;662132;-3262922;3
11647;30.834363;-29.816874;657664;-3262451;7338;30.886375;-29.807101;662720;-3261616;2
15654;30.849984;-30.053045;657848;-3288775;15653;30.864399;-30.086996;659042;-3292617;2
15654;30.849984;-30.053045;657848;-3288775;15660;30.86969;-30.066376;659665;-3290352;2
15655;30.881367;-30.056443;660841;-3289304;15653;30.864399;-30.086996;659042;-3292617;5
15654;30.849984;-30.053045;657848;-3288775;15662;30.828992;-30.054746;655825;-3288863;2
7440;31.017034;-29.776195;675460;-3258820;7385;31.010393;-29.809033;674633;-3262438;2
7431;31.026769;-29.763041;676471;-3257406;7476;31.001945;-29.771245;674037;-3258195;2
14393;28.970773;-27.864489;486343;-3037301;7496;30.732607;-29.826494;647827;-3263034;2
12121;30.98325;-29.922724;671377;-3274941;11034;30.968529;-29.892677;670133;-3271529;3
7315;30.929465;-29.801341;666896;-3261185;7308;30.930727;-29.802159;667012;-3261282;6
10957;30.981185;-29.895331;671334;-3271886;11047;30.92065;-29.880574;665601;-3269949;3
12151;30.977775;-29.920243;670865;-3274638;12061;30.983837;-29.907186;671522;-3273217;4
7436;30.999499;-29.80678;673599;-3262133;7422;30.999082;-29.805272;673567;-3261964;2
15652;30.831061;-30.06465;655968;-3289974;15662;30.828992;-30.054746;655825;-3288863;3
15653;30.864399;-30.086996;659042;-3292617;15655;30.881367;-30.056443;660841;-3289304;3
10957;30.981185;-29.895331;671334;-3271886;11034;30.968529;-29.892677;670133;-3271529;2
